0.000,0.588,0.951,0.951,0.588,0.000,-0.588,-0.951,-0.951,-0.588,0.000
0.000,0.637,1.031,1.031,0.637,0.000,-0.637,-1.031,-1.031,-0.637,0.000
0.000,0.626,1.013,1.013,0.626,0.000,-0.626,-1.013,-1.013,-0.626,0.000
0.000,0.555,0.898,0.898,0.555,-0.000,-0.555,-0.898,-0.898,-0.555,0.000
0.000,0.431,0.697,0.697,0.431,-0.000,-0.431,-0.697,-0.697,-0.431,0.000
0.000,0.266,0.430,0.430,0.266,-0.000,-0.266,-0.430,-0.430,-0.266,0.000
0.000,0.075,0.122,0.122,0.075,-0.000,-0.075,-0.122,-0.122,-0.075,0.000
0.000,-0.123,-0.198,-0.198,-0.123,-0.000,0.123,0.198,0.198,0.123,0.000
0.000,-0.309,-0.499,-0.499,-0.309,-0.000,0.309,0.499,0.499,0.309,0.000
0.000,-0.465,-0.753,-0.753,-0.465,-0.000,0.465,0.753,0.753,0.465,0.000
0.000,-0.577,-0.934,-0.934,-0.577,-0.000,0.577,0.934,0.934,0.577,0.000
